time-of-completion,duration,label
2024-04-01-13-10,4,WCmn
2024-04-01-13-05,45,WCmn
2024-03-31-14-13,18,WCmn
2024-03-31-13-54,45,WCmn
2024-03-31-12-46,45,WCmn
2024-03-31-11-29,45,WCmn
2024-03-31-10-39,45,WCmn
2024-03-31-08-18,45,WCmn
2024-03-31-07-32,45,WCmn
2024-03-31-06-46,45,WCmn
2024-03-31-04-17,24,WCmn
2024-03-30-11-33,45,WCmn
2024-03-30-02-41,46,WCmn
2024-03-29-19-04,45,WCmn
2024-03-29-17-12,45,WCmn
2024-03-29-16-26,45,WCmn
2024-03-29-09-48,15,WCmn
2024-03-28-20-09,45,WCmn
2024-03-28-17-14,45,WCmn
2024-03-28-16-28,45,WCmn
2024-03-27-19-12,5,WCmn
2024-03-27-17-38,45,WCmn
2024-03-27-16-29,45,WCmn
2024-03-20-15-58,54,
2024-03-20-15-03,54,
2024-03-20-13-41,54,
2024-03-18-14-33,54,
2024-03-15-15-58,54,
2024-03-15-15-03,54,
2024-03-15-14-08,54,
2024-03-15-13-13,54,
2024-03-10-09-29,54,
2024-03-10-08-34,54,
2024-03-10-07-40,12,
2024-03-07-11-57,54,
2024-03-07-11-02,54,
2024-03-06-13-07,54,
2024-03-05-20-22,54,
2024-03-05-19-27,54,
2024-03-05-17-54,54,
2024-03-05-16-41,54,
2024-03-05-15-00,54,
2024-03-05-13-13,54,
2024-03-05-12-18,54,
2024-03-04-12-46,54,
2024-03-04-11-16,54,
2024-03-03-09-47,54,
2024-03-03-08-52,54,
2024-03-03-07-57,54,
2024-03-02-10-12,54,
2024-03-02-09-17,54,
2024-03-01-14-54,54,
2024-03-01-13-43,54,
2024-02-29-16-41,54,
2024-02-29-15-46,54,
2024-02-29-14-45,54,
2024-02-27-13-24,54,
2024-02-27-12-29,54,
2024-02-25-13-39,54,
2024-02-25-09-13,54,
2024-02-25-08-05,54,
2024-02-24-11-12,54,
2024-02-24-10-17,54,
2024-02-24-09-22,54,
2024-02-24-08-27,54,
2024-02-24-07-31,54,
2024-02-23-16-00,54,
2024-02-23-12-36,54,
2024-02-21-15-47,45,
2024-02-21-15-01,45,
2024-02-20-18-19,45,
2024-02-20-15-36,45,
2024-02-20-14-50,45,
2024-02-20-14-04,45,
2024-02-19-17-15,45,
2024-02-19-13-35,45,
2024-02-19-12-49,45,
2024-02-17-14-40,45,
2024-02-17-13-37,45,
2024-02-17-12-51,45,
2024-02-16-19-05,45,
2024-02-16-15-03,45,
2024-02-16-14-17,45,
2024-02-16-13-10,45,
2024-02-15-16-20,45,
2024-02-15-13-50,45,
2024-02-15-13-04,45,
2024-02-13-19-29,45,
2024-02-13-17-52,45,
2024-02-12-20-54,45,
2024-02-12-15-48,45,
2024-02-12-13-11,45,
2024-02-12-12-25,45,
2024-02-12-11-39,45,
2024-02-12-07-06,45,
2024-02-10-14-20,45,
2024-02-10-13-26,45,
2024-02-10-12-39,45,
2024-02-10-10-52,45,
2024-02-08-11-45,45,
2024-02-08-10-59,45,
2024-02-08-10-13,45,
2024-02-08-07-37,45,
2024-02-07-19-02,45,
2024-02-07-17-32,45,
2024-02-07-14-56,45,
2024-02-07-14-10,45,
2024-02-07-13-23,45,
2024-02-07-11-30,45,
2024-02-07-09-59,45,
2024-02-07-02-42,45,
2024-02-03-07-52,45,
2024-02-03-07-06,45,
2024-02-02-12-07,45,
2024-02-02-08-24,45,
2024-02-02-07-38,45,
2024-02-02-06-46,45,
2024-01-31-15-39,45,
2024-01-31-14-53,45,
2024-01-31-14-07,45,
2024-01-31-11-39,45,
2024-01-31-10-33,45,
2024-01-30-15-14,45,
2024-01-30-14-28,45,
2024-01-30-13-42,45,
2024-01-30-12-56,45,
2024-01-30-12-10,45,
2024-01-30-11-24,45,
2024-01-30-09-04,45,
2024-01-30-08-18,45,
2024-01-30-07-32,45,
2024-01-30-06-46,45,
2024-01-29-15-00,45,
2024-01-29-14-14,45,
2024-01-29-13-28,45,
2024-01-28-10-02,45,
2024-01-28-09-16,45,
2024-01-28-08-30,45,
2024-01-28-07-44,45,
2024-01-28-06-58,45,
2024-01-27-10-20,45,
2024-01-27-06-49,45,
2024-01-25-19-16,45,
2024-01-25-17-30,45,
2024-01-25-16-44,45,
2024-01-25-15-58,45,
2024-01-25-14-35,45,
2024-01-25-13-49,45,
2024-01-25-10-38,45,
2024-01-24-19-32,45,
2024-01-24-18-46,45,
2024-01-24-18-00,45,
2024-01-24-17-14,45,
2024-01-24-16-28,45,
2024-01-24-15-42,45,
